date_yearmon,SSDI,SSI,Concurrent,State,year,month
Oct 2000,61671.81026785759,81908.39955357157,45742.12723214299,NW,2000,10
Nov 2000,52260.86138392857,70768.92678571433,38939.56339285714,NW,2000,11
Dec 2000,54049.173214285736,72883.89821428589,40004.44107142867,NW,2000,12
Jan 2001,53007.99330357157,71211.79241071423,40212.28571428556,NW,2001,1
Feb 2001,61992.491071428805,80052.79910714281,44960.535714285674,NW,2001,2
Mar 2001,65532.80714285694,85773.74464285694,48220.826785714555,NW,2001,3
Apr 2001,64482.930803571435,85679.38839285703,48397.7991071427,NW,2001,4
May 2001,66202.64955357142,85785.91964285735,50240.354910714355,NW,2001,5
Jun 2001,62844.741071428885,80830.04241071416,48744.35178571433,NW,2001,6
Jul 2001,61504.6214285714,78422.21874999968,49217.437499999825,NW,2001,7
Aug 2001,66472.02142857146,83122.2035714289,53246.492857143,NW,2001,8
Sep 2001,59287.90178571434,75528.48214285716,47935.80133928574,NW,2001,9
Oct 2001,64413.3593750003,82764.99776785738,49805.53348214278,NW,2001,10
Nov 2001,63763.953571428734,77575.83883928586,49200.04464285712,NW,2001,11
Dec 2001,58606.31919642838,74238.14955357135,47058.54910714304,NW,2001,12
Jan 2002,55908.25223214293,74083.78794642862,46667.20982142859,NW,2002,1
Feb 2002,67095.12053571433,83633.5535714288,54241.79910714337,NW,2002,2
Mar 2002,73163.05357142916,90430.68214285719,57932.12857142862,NW,2002,3
Apr 2002,71173.74553571462,90305.88839285781,57676.888392856985,NW,2002,4
May 2002,67579.94642857133,87094.73214285685,54794.45714285733,NW,2002,5
Jun 2002,70871.5446428572,88451.37500000035,57927.99776785671,NW,2002,6
Jul 2002,65765.65401785707,80336.5200892857,54948.38392857139,NW,2002,7
Aug 2002,71750.75357142877,85922.45357142862,61078.496428571445,NW,2002,8
Sep 2002,68598.51562499996,82641.07366071417,58017.136160714435,NW,2002,9
Oct 2002,69309.44866071462,85972.89285714316,58700.89285714341,NW,2002,10
Nov 2002,64551.85000000005,79785.38392857117,54985.77857142858,NW,2002,11
Dec 2002,61605.499999999985,75968.73883928565,52065.51785714292,NW,2002,12
Jan 2003,60797.60178571406,76559.87857142843,52059.43035714317,NW,2003,1
Feb 2003,69121.388392857,81499.66741071425,56205.01785714307,NW,2003,2
Mar 2003,75978.52232142835,89559.0825892861,62972.65104166676,NW,2003,3
Apr 2003,72749.75580357143,89563.430803572,62438.545386904734,NW,2003,4
May 2003,70010.5982142859,86955.5892857147,61438.528571428804,NW,2003,5
Jun 2003,74405.55580357133,92637.61830357168,65596.07366071423,NW,2003,6
Jul 2003,67130.99330357146,80538.71205357145,59666.196428571406,NW,2003,7
Aug 2003,73247.40892857152,86868.62499999978,67235.56785714296,NW,2003,8
Sep 2003,69374.67187499984,83113.94196428552,64709.03794642893,NW,2003,9
Oct 2003,70678.48392857127,88349.62678571437,66245.91428571429,NW,2003,10
Nov 2003,61391.350446428536,75484.99999999991,56732.23883928575,NW,2003,11
Dec 2003,62653.41964285712,77465.61160714267,57077.92187499999,NW,2003,12
Jan 2004,59504.44285714289,75019.74107142855,56575.485714285634,NW,2004,1
