File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes,,Fiscal Quarter Number,
SSA-DATES1.csv,1,6/1/2010,10/6/2000,10/6/2000,2000-10,4,2000-12,2001,2001-1,1,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,10/13/2000,10/13/2000,2000-10,4,2000-12,2001,2001-1,2,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,10/20/2000,10/20/2000,2000-10,4,2000-12,2001,2001-1,3,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,10/27/2000,10/27/2000,2000-10,4,2000-12,2001,2001-1,4,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/3/2000,11/3/2000,2000-11,4,2000-12,2001,2001-1,5,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/10/2000,11/10/2000,2000-11,4,2000-12,2001,2001-1,6,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/17/2000,11/17/2000,2000-11,4,2000-12,2001,2001-1,7,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/24/2000,11/24/2000,2000-11,4,2000-12,2001,2001-1,8,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/1/2000,12/1/2000,2000-12,5,2000-12,2001,2001-1,9,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/8/2000,12/8/2000,2000-12,5,2000-12,2001,2001-1,10,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/15/2000,12/15/2000,2000-12,5,2000-12,2001,2001-1,11,2000,2000-4,2000-12,,,2001,1
