File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Formatted Date,Receipts (All Initial),Closing Pending (All Initial),Determinations (All Initial),Allowances (All Initial),Allowance Rate (All Initial),Receipts (Initial SSDI Only),Closing Pending (Initial SSDI Only),Determinations (Initial SSDI Only),Allowances (Initial SSDI Only),Allowance Rate (Initial SSDI Only),Receipts (Initial SSI Only),Closing Pending (Initial SSI Only),Determinations (Initial SSI Only),Allowances (Initial SSI Only),Allowance Rate (Initial SSI Only),Receipts (Initial Concurrent Only),Closing Pending (Initial Concurrent Only),Determinations (Initial Concurrent Only),Allowances (Initial Concurrent Only),Allowance Rate (Initial Concurrent Only),Receipts (Initial SSI DC Only),Closing Pending (Initial SSI DC Only),Determinations (Initial SSI DC Only),Allowances (Initial SSI DC Only),Allowance Rate (Initial SSI DC Only),Prototype State,Receipts (All Recon),Closing Pending (All Recon),Determinations (All Recon),Allowances (All Recon),Allowance Rate (All Recon),Receipts (Recon SSDI Only),Closing Pending (Recon SSDI Only),Determinations (Recon SSDI Only),Allowances (Recon SSDI Only),Allowance Rate (Recon SSDI Only),Receipts (Recon SSI Only),Closing Pending (Recon SSI Only),Determinations (Recon SSI Only),Allowances (Recon SSI Only),Allowance Rate (Recon SSI Only),Receipts (Recon Concurrent Only),Closing Pending (Recon Concurrent Only),Determinations (Recon Concurrent Only),Allowances (Recon Concurrent Only),Allowance Rate (Recon Concurrent Only),Receipts (Recon SSI DC Only),Closing Pending (Recon SSI DC Only),Determinations (Recon SSI DC Only),Allowances (Recon SSI DC Only),Allowance Rate (Recon SSI DC Only),Receipts (All CDR),Closing Pending (All CDR),Determinations (All CDR),Continuations (All CDR),Continuation Rate (All CDR),Receipts (CDR SSDI Only),Closing Pending (CDR SSDI Only),Determinations (CDR SSDI Only),Continuations (CDR SSDI Only),Continuation Rate (CDR SSDI Only),Receipts (CDR SSI Only),Closing Pending (CDR SSI Only),Determinations (CDR SSI Only),Continuations (CDR SSI Only),Continuation Rate (CDR SSI Only),Receipts (CDR Concurrent Only),Closing Pending (CDR Concurrent Only),Determinations (CDR Concurrent Only),Continuations (CDR Concurrent Only),Continuation Rate (CDR Concurrent Only),,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,SEA,AK,MO,10/27/2000,2000-10,392,1669,313,164,52.4,113,448,95,64,67.4,136,695,115,54,47,143,526,103,46,44.7,31,155,25,18,72,Y,1,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,102,36,25,69.4,40,54,12,8,66.7,19,33,19,13,68.4,7,15,5,4,80,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,AL,MO,10/27/2000,2000-10,4377,22039,2953,1250,42.3,1189,5685,830,446,53.7,1922,9672,1216,498,41,1266,6682,907,306,33.7,941,4285,498,213,42.8,Y,35,172,177,58,32.8,19,60,63,26,41.3,11,64,51,15,29.4,5,48,63,17,27,8,19,9,4,44.4,1605,5968,1694,1492,88.1,700,2140,617,583,94.5,744,3377,916,759,82.9,161,451,161,150,93.2,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DAL,AR,MO,10/27/2000,2000-10,2484,8145,2076,615,29.6,709,2309,583,230,39.5,991,3234,842,240,28.5,784,2602,651,145,22.3,516,1483,434,145,33.4,N,721,2175,702,83,11.8,249,746,229,33,14.4,217,664,226,31,13.7,255,765,247,19,7.7,81,225,78,15,19.2,980,3492,1222,854,69.9,668,1914,469,404,86.1,200,1230,673,389,57.8,112,348,80,61,76.3,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,SFO,AZ,MO,10/27/2000,2000-10,2602,6126,2255,1053,46.7,989,2210,779,404,51.9,982,2354,860,407,47.3,631,1562,616,242,39.3,317,792,317,160,50.5,N,465,1068,421,142,33.7,230,473,188,72,38.3,103,265,94,19,20.2,132,330,139,51,36.7,26,45,23,6,26.1,1091,5784,1343,1177,87.6,627,3349,749,693,92.5,349,1922,482,390,80.9,115,513,112,94,83.9,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,SFO,CA,MO,10/27/2000,2000-10,18209,47724,16607,7198,43.3,5987,14567,5075,2447,48.2,9099,24675,8701,3782,43.5,3123,8482,2831,969,34.2,2125,5567,2056,1088,52.9,Y,3997,8316,3675,667,18.1,1398,2782,1192,257,21.6,1734,3832,1758,295,16.8,865,1702,725,115,15.9,182,424,165,35,21.2,8549,32521,5336,4462,83.6,2912,12152,2111,1836,87,4442,15628,2415,1925,79.7,1195,4741,810,701,86.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DEN,CO,MO,10/27/2000,2000-10,1488,7779,1052,428,40.7,523,2774,382,182,47.6,484,2611,378,161,42.6,481,2394,292,85,29.1,176,806,151,81,53.6,Y,34,167,40,6,15,13,66,12,2,16.7,7,47,9,0,0,14,54,19,4,21.1,1,3,1,0,0,808,2025,557,392,70.4,510,1040,196,162,82.7,174,718,311,196,63,124,267,50,34,68,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,BOS,CT,MO,10/27/2000,2000-10,1599,4973,1443,678,47,677,1818,628,369,58.8,600,2141,549,215,39.2,322,1014,266,94,35.3,181,609,171,68,39.8,N,358,1054,285,73,25.6,156,390,117,27,23.1,131,419,113,28,24.8,71,245,55,18,32.7,28,90,24,5,20.8,992,2031,1637,1552,94.8,541,1078,1013,985,97.2,373,785,500,449,89.8,78,168,124,118,95.2,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,PHL,DC,MO,10/27/2000,2000-10,423,1342,372,171,46,77,189,62,33,53.2,247,806,235,103,43.8,99,347,75,35,46.7,82,256,90,41,45.6,N,62,170,47,14,29.8,18,29,8,4,50,29,81,23,6,26.1,15,60,16,4,25,4,14,9,2,22.2,74,583,210,188,89.5,19,181,47,43,91.5,44,344,154,137,89,11,58,9,8,88.9,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,PHL,DE,MO,10/27/2000,2000-10,379,803,317,186,58.7,134,275,127,83,65.4,151,315,114,60,52.6,94,213,76,43,56.6,70,158,51,29,56.9,N,63,146,67,19,28.4,24,59,31,8,25.8,21,39,15,5,33.3,18,48,21,6,28.6,7,9,5,2,40,135,524,178,140,78.7,83,212,64,59,92.2,38,270,103,72,69.9,14,42,11,9,81.8,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,FED,FE,MO,10/27/2000,2000-10,574,4433,697,327,46.9,231,2323,255,153,60,254,1842,312,123,39.4,89,268,130,51,39.2,106,1212,112,46,41.1,N,211,830,245,46,18.8,64,349,80,18,22.5,117,405,127,25,19.7,30,76,38,3,7.9,10,44,24,3,12.5,355,1935,273,272,99.6,211,1130,143,142,99.3,93,628,97,97,100,51,177,33,33,100,,,,,,,,,,,,,,
