File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes
SSA-DATES1.csv,2,01/19/2021,10/6/2000,2000-10-06,2000-10,4,2000-12,2001,2001-1,01,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,10/13/2000,2000-10-13,2000-10,4,2000-12,2001,2001-1,02,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,10/20/2000,2000-10-20,2000-10,4,2000-12,2001,2001-1,03,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,10/27/2000,2000-10-27,2000-10,4,2000-12,2001,2001-1,04,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,11/3/2000,2000-11-03,2000-11,4,2000-12,2001,2001-1,05,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,11/10/2000,2000-11-10,2000-11,4,2000-12,2001,2001-1,06,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,11/17/2000,2000-11-17,2000-11,4,2000-12,2001,2001-1,07,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,11/24/2000,2000-11-24,2000-11,4,2000-12,2001,2001-1,08,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,12/1/2000,2000-12-01,2000-12,5,2000-12,2001,2001-1,09,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,12/8/2000,2000-12-08,2000-12,5,2000-12,2001,2001-1,10,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,12/15/2000,2000-12-15,2000-12,5,2000-12,2001,2001-1,11,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,12/22/2000,2000-12-22,2000-12,5,2000-12,2001,2001-1,12,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,12/29/2000,2000-12-29,2000-12,5,2000-12,2001,2001-1,13,2000,2000-4,2000-12,
SSA-DATES1.csv,2,01/19/2021,1/5/2001,2001-01-05,2001-01,4,2001-03,2001,2001-2,14,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,1/12/2001,2001-01-12,2001-01,4,2001-03,2001,2001-2,15,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,1/19/2001,2001-01-19,2001-01,4,2001-03,2001,2001-2,16,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,1/26/2001,2001-01-26,2001-01,4,2001-03,2001,2001-2,17,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,2/2/2001,2001-02-02,2001-02,4,2001-03,2001,2001-2,18,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,2/9/2001,2001-02-09,2001-02,4,2001-03,2001,2001-2,19,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,2/16/2001,2001-02-16,2001-02,4,2001-03,2001,2001-2,20,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,2/23/2001,2001-02-23,2001-02,4,2001-03,2001,2001-2,21,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,3/2/2001,2001-03-02,2001-03,5,2001-03,2001,2001-2,22,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,3/9/2001,2001-03-09,2001-03,5,2001-03,2001,2001-2,23,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,3/16/2001,2001-03-16,2001-03,5,2001-03,2001,2001-2,24,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,3/23/2001,2001-03-23,2001-03,5,2001-03,2001,2001-2,25,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,3/30/2001,2001-03-30,2001-03,5,2001-03,2001,2001-2,26,2001,2001-1,2001-03,
SSA-DATES1.csv,2,01/19/2021,4/6/2001,2001-04-06,2001-04,4,2001-06,2001,2001-3,27,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,4/13/2001,2001-04-13,2001-04,4,2001-06,2001,2001-3,28,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,4/20/2001,2001-04-20,2001-04,4,2001-06,2001,2001-3,29,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,4/27/2001,2001-04-27,2001-04,4,2001-06,2001,2001-3,30,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,5/4/2001,2001-05-04,2001-05,4,2001-06,2001,2001-3,31,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,5/11/2001,2001-05-11,2001-05,4,2001-06,2001,2001-3,32,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,5/18/2001,2001-05-18,2001-05,4,2001-06,2001,2001-3,33,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,5/25/2001,2001-05-25,2001-05,4,2001-06,2001,2001-3,34,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,6/1/2001,2001-06-01,2001-06,5,2001-06,2001,2001-3,35,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,6/8/2001,2001-06-08,2001-06,5,2001-06,2001,2001-3,36,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,6/15/2001,2001-06-15,2001-06,5,2001-06,2001,2001-3,37,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,6/22/2001,2001-06-22,2001-06,5,2001-06,2001,2001-3,38,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,6/29/2001,2001-06-29,2001-06,5,2001-06,2001,2001-3,39,2001,2001-2,2001-06,
SSA-DATES1.csv,2,01/19/2021,7/6/2001,2001-07-06,2001-07,4,2001-09,2001,2001-4,40,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,7/13/2001,2001-07-13,2001-07,4,2001-09,2001,2001-4,41,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,7/20/2001,2001-07-20,2001-07,4,2001-09,2001,2001-4,42,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,7/27/2001,2001-07-27,2001-07,4,2001-09,2001,2001-4,43,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,8/3/2001,2001-08-03,2001-08,5,2001-09,2001,2001-4,44,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,8/10/2001,2001-08-10,2001-08,5,2001-09,2001,2001-4,45,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,8/17/2001,2001-08-17,2001-08,5,2001-09,2001,2001-4,46,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,8/24/2001,2001-08-24,2001-08,5,2001-09,2001,2001-4,47,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,8/31/2001,2001-08-31,2001-08,5,2001-09,2001,2001-4,48,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,9/7/2001,2001-09-07,2001-09,4,2001-09,2001,2001-4,49,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,9/14/2001,2001-09-14,2001-09,4,2001-09,2001,2001-4,50,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,9/21/2001,2001-09-21,2001-09,4,2001-09,2001,2001-4,51,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,9/28/2001,2001-09-28,2001-09,4,2001-09,2001,2001-4,52,2001,2001-3,2001-09,
SSA-DATES1.csv,2,01/19/2021,10/5/2001,2001-10-05,2001-10,4,2001-12,2002,2002-1,01,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,10/12/2001,2001-10-12,2001-10,4,2001-12,2002,2002-1,02,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,10/19/2001,2001-10-19,2001-10,4,2001-12,2002,2002-1,03,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,10/26/2001,2001-10-26,2001-10,4,2001-12,2002,2002-1,04,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,11/2/2001,2001-11-02,2001-11,5,2001-12,2002,2002-1,05,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,11/9/2001,2001-11-09,2001-11,5,2001-12,2002,2002-1,06,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,11/16/2001,2001-11-16,2001-11,5,2001-12,2002,2002-1,07,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,11/23/2001,2001-11-23,2001-11,5,2001-12,2002,2002-1,08,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,11/30/2001,2001-11-30,2001-11,5,2001-12,2002,2002-1,09,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,12/7/2001,2001-12-07,2001-12,4,2001-12,2002,2002-1,10,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,12/14/2001,2001-12-14,2001-12,4,2001-12,2002,2002-1,11,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,12/21/2001,2001-12-21,2001-12,4,2001-12,2002,2002-1,12,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,12/28/2001,2001-12-28,2001-12,4,2001-12,2002,2002-1,13,2001,2001-4,2001-12,
SSA-DATES1.csv,2,01/19/2021,1/4/2002,2002-01-04,2002-01,4,2002-03,2002,2002-2,14,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,1/11/2002,2002-01-11,2002-01,4,2002-03,2002,2002-2,15,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,1/18/2002,2002-01-18,2002-01,4,2002-03,2002,2002-2,16,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,1/25/2002,2002-01-25,2002-01,4,2002-03,2002,2002-2,17,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,2/1/2002,2002-02-01,2002-02,4,2002-03,2002,2002-2,18,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,2/8/2002,2002-02-08,2002-02,4,2002-03,2002,2002-2,19,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,2/15/2002,2002-02-15,2002-02,4,2002-03,2002,2002-2,20,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,2/22/2002,2002-02-22,2002-02,4,2002-03,2002,2002-2,21,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,3/1/2002,2002-03-01,2002-03,5,2002-03,2002,2002-2,22,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,3/8/2002,2002-03-08,2002-03,5,2002-03,2002,2002-2,23,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,3/15/2002,2002-03-15,2002-03,5,2002-03,2002,2002-2,24,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,3/22/2002,2002-03-22,2002-03,5,2002-03,2002,2002-2,25,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,3/29/2002,2002-03-29,2002-03,5,2002-03,2002,2002-2,26,2002,2002-1,2002-03,
SSA-DATES1.csv,2,01/19/2021,4/5/2002,2002-04-05,2002-04,4,2002-06,2002,2002-3,27,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,4/12/2002,2002-04-12,2002-04,4,2002-06,2002,2002-3,28,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,4/19/2002,2002-04-19,2002-04,4,2002-06,2002,2002-3,29,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,4/26/2002,2002-04-26,2002-04,4,2002-06,2002,2002-3,30,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,5/3/2002,2002-05-03,2002-05,5,2002-06,2002,2002-3,31,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,5/10/2002,2002-05-10,2002-05,5,2002-06,2002,2002-3,32,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,5/17/2002,2002-05-17,2002-05,5,2002-06,2002,2002-3,33,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,5/24/2002,2002-05-24,2002-05,5,2002-06,2002,2002-3,34,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,5/31/2002,2002-05-31,2002-05,5,2002-06,2002,2002-3,35,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,6/7/2002,2002-06-07,2002-06,4,2002-06,2002,2002-3,36,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,6/14/2002,2002-06-14,2002-06,4,2002-06,2002,2002-3,37,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,6/21/2002,2002-06-21,2002-06,4,2002-06,2002,2002-3,38,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,6/28/2002,2002-06-28,2002-06,4,2002-06,2002,2002-3,39,2002,2002-2,2002-06,
SSA-DATES1.csv,2,01/19/2021,7/5/2002,2002-07-05,2002-07,4,2002-09,2002,2002-4,40,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,7/12/2002,2002-07-12,2002-07,4,2002-09,2002,2002-4,41,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,7/19/2002,2002-07-19,2002-07,4,2002-09,2002,2002-4,42,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,7/26/2002,2002-07-26,2002-07,4,2002-09,2002,2002-4,43,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,8/2/2002,2002-08-02,2002-08,5,2002-09,2002,2002-4,44,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,8/9/2002,2002-08-09,2002-08,5,2002-09,2002,2002-4,45,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,8/16/2002,2002-08-16,2002-08,5,2002-09,2002,2002-4,46,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,8/23/2002,2002-08-23,2002-08,5,2002-09,2002,2002-4,47,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,8/30/2002,2002-08-30,2002-08,5,2002-09,2002,2002-4,48,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,9/6/2002,2002-09-06,2002-09,4,2002-09,2002,2002-4,49,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,9/13/2002,2002-09-13,2002-09,4,2002-09,2002,2002-4,50,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,9/20/2002,2002-09-20,2002-09,4,2002-09,2002,2002-4,51,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,9/27/2002,2002-09-27,2002-09,4,2002-09,2002,2002-4,52,2002,2002-3,2002-09,
SSA-DATES1.csv,2,01/19/2021,10/4/2002,2002-10-04,2002-10,4,2002-12,2003,2003-1,01,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,10/11/2002,2002-10-11,2002-10,4,2002-12,2003,2003-1,02,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,10/18/2002,2002-10-18,2002-10,4,2002-12,2003,2003-1,03,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,10/25/2002,2002-10-25,2002-10,4,2002-12,2003,2003-1,04,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,11/1/2002,2002-11-01,2002-11,5,2002-12,2003,2003-1,05,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,11/8/2002,2002-11-08,2002-11,5,2002-12,2003,2003-1,06,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,11/15/2002,2002-11-15,2002-11,5,2002-12,2003,2003-1,07,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,11/22/2002,2002-11-22,2002-11,5,2002-12,2003,2003-1,08,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,11/29/2002,2002-11-29,2002-11,5,2002-12,2003,2003-1,09,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,12/6/2002,2002-12-06,2002-12,4,2002-12,2003,2003-1,10,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,12/13/2002,2002-12-13,2002-12,4,2002-12,2003,2003-1,11,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,12/20/2002,2002-12-20,2002-12,4,2002-12,2003,2003-1,12,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,12/27/2002,2002-12-27,2002-12,4,2002-12,2003,2003-1,13,2002,2002-4,2002-12,
SSA-DATES1.csv,2,01/19/2021,1/3/2003,2003-01-03,2003-01,5,2003-03,2003,2003-2,14,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,1/10/2003,2003-01-10,2003-01,5,2003-03,2003,2003-2,15,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,1/17/2003,2003-01-17,2003-01,5,2003-03,2003,2003-2,16,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,1/24/2003,2003-01-24,2003-01,5,2003-03,2003,2003-2,17,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,1/31/2003,2003-01-31,2003-01,5,2003-03,2003,2003-2,18,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/7/2003,2003-02-07,2003-02,4,2003-03,2003,2003-2,19,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/14/2003,2003-02-14,2003-02,4,2003-03,2003,2003-2,20,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/21/2003,2003-02-21,2003-02,4,2003-03,2003,2003-2,21,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/28/2003,2003-02-28,2003-02,4,2003-03,2003,2003-2,22,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/7/2003,2003-03-07,2003-03,4,2003-03,2003,2003-2,23,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/14/2003,2003-03-14,2003-03,4,2003-03,2003,2003-2,24,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/21/2003,2003-03-21,2003-03,4,2003-03,2003,2003-2,25,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/28/2003,2003-03-28,2003-03,4,2003-03,2003,2003-2,26,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,4/4/2003,2003-04-04,2003-04,4,2003-06,2003,2003-3,27,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,4/11/2003,2003-04-11,2003-04,4,2003-06,2003,2003-3,28,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,4/18/2003,2003-04-18,2003-04,4,2003-06,2003,2003-3,29,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,4/25/2003,2003-04-25,2003-04,4,2003-06,2003,2003-3,30,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,5/2/2003,2003-05-02,2003-05,5,2003-06,2003,2003-3,31,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,5/9/2003,2003-05-09,2003-05,5,2003-06,2003,2003-3,32,2003,2003-2,2003-06,
