File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,10/6/2000,10/6/2000,2000-10,4,2000-12,2001,2001-1,1,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,10/13/2000,10/13/2000,2000-10,4,2000-12,2001,2001-1,2,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,10/20/2000,10/20/2000,2000-10,4,2000-12,2001,2001-1,3,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,10/27/2000,10/27/2000,2000-10,4,2000-12,2001,2001-1,4,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,11/3/2000,11/3/2000,2000-11,4,2000-12,2001,2001-1,5,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,11/10/2000,11/10/2000,2000-11,4,2000-12,2001,2001-1,6,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,11/17/2000,11/17/2000,2000-11,4,2000-12,2001,2001-1,7,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,11/24/2000,11/24/2000,2000-11,4,2000-12,2001,2001-1,8,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,12/1/2000,12/1/2000,2000-12,5,2000-12,2001,2001-1,9,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,12/8/2000,12/8/2000,2000-12,5,2000-12,2001,2001-1,10,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,12/15/2000,12/15/2000,2000-12,5,2000-12,2001,2001-1,11,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,12/22/2000,12/22/2000,2000-12,5,2000-12,2001,2001-1,12,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,12/29/2000,12/29/2000,2000-12,5,2000-12,2001,2001-1,13,2000,2000-4,2000-12,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,1/5/2001,1/5/2001,2001-01,4,2001-03,2001,2001-2,14,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,1/12/2001,1/12/2001,2001-01,4,2001-03,2001,2001-2,15,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,1/19/2001,1/19/2001,2001-01,4,2001-03,2001,2001-2,16,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,1/26/2001,1/26/2001,2001-01,4,2001-03,2001,2001-2,17,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,2/2/2001,2/2/2001,2001-02,4,2001-03,2001,2001-2,18,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,2/9/2001,2/9/2001,2001-02,4,2001-03,2001,2001-2,19,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,2/16/2001,2/16/2001,2001-02,4,2001-03,2001,2001-2,20,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,2/23/2001,2/23/2001,2001-02,4,2001-03,2001,2001-2,21,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,3/2/2001,3/2/2001,2001-03,5,2001-03,2001,2001-2,22,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,3/9/2001,3/9/2001,2001-03,5,2001-03,2001,2001-2,23,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,3/16/2001,3/16/2001,2001-03,5,2001-03,2001,2001-2,24,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,3/23/2001,3/23/2001,2001-03,5,2001-03,2001,2001-2,25,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,3/30/2001,3/30/2001,2001-03,5,2001-03,2001,2001-2,26,2001,2001-1,2001-03,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,4/6/2001,4/6/2001,2001-04,4,2001-06,2001,2001-3,27,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,4/13/2001,4/13/2001,2001-04,4,2001-06,2001,2001-3,28,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,4/20/2001,4/20/2001,2001-04,4,2001-06,2001,2001-3,29,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,4/27/2001,4/27/2001,2001-04,4,2001-06,2001,2001-3,30,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,5/4/2001,5/4/2001,2001-05,4,2001-06,2001,2001-3,31,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,5/11/2001,5/11/2001,2001-05,4,2001-06,2001,2001-3,32,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,5/18/2001,5/18/2001,2001-05,4,2001-06,2001,2001-3,33,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,5/25/2001,5/25/2001,2001-05,4,2001-06,2001,2001-3,34,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,6/1/2001,6/1/2001,2001-06,5,2001-06,2001,2001-3,35,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,6/8/2001,6/8/2001,2001-06,5,2001-06,2001,2001-3,36,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,6/15/2001,6/15/2001,2001-06,5,2001-06,2001,2001-3,37,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,6/22/2001,6/22/2001,2001-06,5,2001-06,2001,2001-3,38,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,6/29/2001,6/29/2001,2001-06,5,2001-06,2001,2001-3,39,2001,2001-2,2001-06,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,7/6/2001,7/6/2001,2001-07,4,2001-09,2001,2001-4,40,2001,2001-3,2001-09,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,7/13/2001,7/13/2001,2001-07,4,2001-09,2001,2001-4,41,2001,2001-3,2001-09,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,7/20/2001,7/20/2001,2001-07,4,2001-09,2001,2001-4,42,2001,2001-3,2001-09,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,7/27/2001,7/27/2001,2001-07,4,2001-09,2001,2001-4,43,2001,2001-3,2001-09,
,,,,,,,,,,,,,,
SSA-DATES1.csv,2,1/19/2021,8/3/2001,8/3/2001,2001-08,5,2001-09,2001,2001-4,44,2001,2001-3,2001-09,
,,,,,,,,,,,,,,
